id,egcs,ercs,erAtt
1810,India,Name JUPHOON (HK) LIMITED,97.0
1811,Spain,Coastnet Ajoxi,97.0
1812,Bangladesh,Orange Business Services Softtop,97.0
1813,Sri Lanka,Telebiz International (Labuan) Corporation,97.0
1814,Nepal,Name - Vodafone Idea Limited,97.0
1815,Indonesia,NAME - BHARTI AIRTEL,97.0
1816,India,Name JUPHOON (HK) LIMITED,97.0
1817,India,Zorra Voip - Letsdial,97.0
1818,Laos,Name - HKBN,101.0
1819,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,108.0
1820,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,110.0
1821,Germany,Arptel,96.0
1822,Bangladesh,Progressive Telecom LLC. Letsdial,96.0
1823,Malaysia,Name - Telecom Italia Sparkle,96.0
1824,Tanzania,Novatel,96.0
1825,Indonesia,PLDT (SG) PTE LTD,96.0
1826,Tanzania,Termsat - Meratalk LLC NFS,96.0
1827,Tanzania,Termsat - Meratalk LLC NFS,96.0
1828,Tanzania,Novatel,99.0
1829,Japan,Name - CITIC Telecom International Limited,96.0
1830,Laos,Name - HKBN,98.0
1831,Italy,Figoria telecom - Ajoxi,96.0
1832,Bangladesh,Orange Business Services Softtop,96.0
1833,Sri Lanka,Telebiz International (Labuan) Corporation,97.0
1834,Nepal,Name - Vodafone Idea Limited,95.0
1835,Spain,Coastnet Ajoxi,95.0
1836,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,101.0
1837,Spain,Coastnet Ajoxi,95.0
1838,Bangladesh,Orange Business Services Softtop,95.0
1839,Indonesia,NAME - BHARTI AIRTEL,95.0
1840,India,Name JUPHOON (HK) LIMITED,95.0
1841,Spain,Coastnet Ajoxi,95.0
1842,France,ZAYTEL d.o.o. Softtop,95.0
1843,United Kingdom,ZAFTA LINKNET LTD - Ajoxi,95.0
1844,Brazil,SVG-techopen,95.0
1845,Bangladesh,Name - TERMSAT L.L.C-FZ,95.0
1846,India,Name JUPHOON (HK) LIMITED,95.0
1847,Indonesia,NAME - BHARTI AIRTEL,95.0
1848,Tanzania,Novatel,95.0
1849,Laos,HKBN ENTERPRISE SOLUTIONS LIMITED,95.0
